#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
93d094f8698a2c1f641cd7e58c8df6b8	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Aeromonadaceae	Aeromonas	Aeromonas_unclassified
ad22044dbf34e39f2b2d7501080ec15e	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Agathobacter_164117	Agathobacter rectalis
645cc2f15727128f952484d49f1ddce2	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Agathobacter_164117	Agathobacter rectalis
8461ac37ad6e0ac6707d7e084e199837	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Agathobacter_164117	Agathobacter rectalis
840ab85b494541d731c1b5c3b83d325d	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Agathobacter_164117	Agathobacter rectalis
49537c7fbb172a300b224cc7714c86d1	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Agathobacter_164117	Agathobacter faecis
ddbe578273bd0b3b24d0fa8e5d2f727d	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	Agathobacter_164117	Agathobacter faecis
2952901f3aa2667c32ca2460b93aaa8e	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
44ed988a5323f73d324e5d720e062c88	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
10e1716cbe0a69c384be03a6afd86d21	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
2d2a8dc9f2a96454e706af93b2ff3c2a	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
2713cabbd2b3cea080be028541d22716	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
dcda97d4ea8c1dee84974ff2d93fa410	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum butyriciproducens
400467aa79c1d4410b7ba1e691d775ee	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
b827bd73aee763d476a05a60822eb805	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter kilianii
33c71fb880ed8fe55d3e1bfca749a3c1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter segnis
